Tweet,Topic
https://twitter.com/orchid00/status/950386446006878209,rbind.io
https://twitter.com/ngamita/status/954416157913702400,rstats
https://twitter.com/CougRstats/status/956620554932334592,rstats
https://twitter.com/NicholasStrayer/status/957470292024098816,shiny
https://twitter.com/NicholasStrayer/status/957470292024098816,keras
https://twitter.com/jspncr_/status/958661238564810752,rstats
https://twitter.com/d4tagirl/status/959582437486379009,tidyeval
https://twitter.com/therealBGS/status/959803516599533568,rstats
https://twitter.com/danwwilson/status/960674858005704705,purrr
https://twitter.com/rforresearch/status/963513835142365184,magick
https://twitter.com/andrewheiss/status/964237387835387904,rstats
https://twitter.com/patilindrajeets/status/964350860330401792,tidyr
https://twitter.com/Chris__Sedlacek/status/967449128132317185,rstats
https://twitter.com/JedMSP/status/968551127292764160,multidplyr
https://twitter.com/MilesMcBain/status/971596281142427649,rstats
https://twitter.com/andrewheiss/status/973335997239848960,ggplot2
https://twitter.com/CMastication/status/973551848329240576,rstudio
https://twitter.com/RLadiesBerlin/status/973633114923782145,rstats
https://twitter.com/StatsOnTheT/status/974944806668525568,rstats
https://twitter.com/masterwahnsinn/status/976843209954549765,rstats
https://twitter.com/dgkeyes/status/978415507845013504,rstats
https://twitter.com/heath_obrien/status/978591837739978753,reticulate
https://twitter.com/CMastication/status/978920075041361921,reticulate
https://twitter.com/OmniAnalytics/status/979756833995927552,rstats
https://twitter.com/Keith_Not_Kevin/status/980895478945648640,purrr
https://twitter.com/Stephen8Vickers/status/983678693292855296,shiny
https://twitter.com/gndaskalova/status/983762717919072256,tidyverse
https://twitter.com/TysonWepprich/status/985579626037624832,rstats
https://twitter.com/samanthaford473/status/986600065392414721,rstats
https://twitter.com/PhonNCL/status/987283200614518784,rstats
https://twitter.com/sumankumarpram1/status/988100479124230147,nse
https://twitter.com/JennyBryan/status/989693844483526657,rstats
https://twitter.com/bluewhalenews/status/991838330080772096,rstats
https://twitter.com/thomasp85/status/992105756374765568,ggplot2
https://twitter.com/fubits/status/992118131308027905,rstats
https://twitter.com/elibeni2010/status/993043815106793472,rstats
https://twitter.com/GrahamIMac/status/993237840384462848,patchwork
https://twitter.com/tcarpenter216/status/994321527565762560,rstats
https://twitter.com/AvrahamAdler/status/994730201996255232,data.table
https://twitter.com/pureblissofsun/status/996433380509011969,rstudio
https://twitter.com/KirkDBorne/status/998027027205648384,reticulate
https://twitter.com/dgkeyes/status/998914481596985344,rstats
https://twitter.com/annakrystalli/status/999342365113507840,ropensci
https://twitter.com/PeteHaitch/status/999691090835001345,rvest
https://twitter.com/Lawrence_Panas/status/1002645842476576770,haven
https://twitter.com/Lawrence_Panas/status/1002645842476576770,dplyr
https://twitter.com/dataandme/status/1003096192149082118,rstats
https://twitter.com/rstatspl/status/1008380981525413888,rstats
https://twitter.com/tymwol/status/1010856561470853120,forecast
https://twitter.com/healthstatsdude/status/1015700414304485382,tidyverse
https://twitter.com/aschiff/status/1016089178969264128,ggplot2
https://twitter.com/Janinekhuc/status/1016377006001442817,tidyverse
https://twitter.com/andrewheiss/status/1017956492895399941,rstan
https://twitter.com/recleev/status/1019961041617162242,tidyeval
https://twitter.com/fleventy5/status/1021432683593904128,rayshader
https://twitter.com/stephhazlitt/status/1022218571005317120,readxl
https://twitter.com/Zofiathewitch/status/1022369402245799941,rstats
https://twitter.com/bduckles/status/1022623920854163456,r4ds
https://twitter.com/eatonjw/status/1023253538019921920,tabulizer
https://twitter.com/andrewheiss/status/1024036238297194497,future
https://twitter.com/andrewheiss/status/1024036238297194497,furrr
https://twitter.com/andrewheiss/status/1024036238297194497,analogsea
https://twitter.com/maxheld/status/1027882767563018241,tidyeval
https://twitter.com/ByJohnRRoby/status/1029397098129551360,dplyr
https://twitter.com/LucyStats/status/1031938964796657665,glue
https://twitter.com/Offshore16/status/1032607042178039808,rstats
https://twitter.com/RLadiesJozi/status/1034321054876028929,rstats
